#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Handle ID:		0x25c

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe","4658","0",,"0","12800","0","-9214364837600034816","124376","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An attempt was made to access an object.

Subject:
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		G:\$RECYCLE.BIN\S-1-5-21-3497878331-16137086-3393786485-1001\$RPQTF3X.txt
	Handle ID:		0x25c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe

Access Request Information:
	Accesses:		WRITE_DAC
				
	Access Mask:		0x40000","4663","1",,"0","12800","0","-9214364837600034816","124375","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An attempt was made to access an object.

Subject:
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		G:\$RECYCLE.BIN\S-1-5-21-3497878331-16137086-3393786485-1001\$RPQTF3X.txt
	Handle ID:		0x25c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe

Access Request Information:
	Accesses:		ReadAttributes
				
	Access Mask:		0x80","4663","1",,"0","12800","0","-9214364837600034816","124374","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An attempt was made to access an object.

Subject:
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		G:\$RECYCLE.BIN\S-1-5-21-3497878331-16137086-3393786485-1001\$RPQTF3X.txt
	Handle ID:		0x25c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe

Access Request Information:
	Accesses:		READ_CONTROL
				
	Access Mask:		0x20000","4663","1",,"0","12800","0","-9214364837600034816","124373","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A handle to an object was requested.

Subject:
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		G:\$RECYCLE.BIN\S-1-5-21-3497878331-16137086-3393786485-1001\$RPQTF3X.txt
	Handle ID:		0x25c
	Resource Attributes:	-

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe

Access Request Information:
	Transaction ID:		{00000000-0000-0000-0000-000000000000}
	Accesses:		READ_CONTROL
				WRITE_DAC
				ReadAttributes
				
	Access Reasons:		READ_CONTROL:	Granted by Ownership
				WRITE_DAC:	Granted by Ownership
				ReadAttributes:	Granted by	D:(A;;FA;;;S-1-5-21-3497878331-16137086-3393786485-1001)
				
	Access Mask:		0x60080
	Privileges Used for Access Check:	-
	Restricted SID Count:	0","4656","1",,"0","12800","0","-9214364837600034816","124372","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Handle ID:		0x128c

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe","4658","0",,"0","12800","0","-9214364837600034816","124371","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An attempt was made to duplicate a handle to an object.

Subject:
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Source Handle Information:
	Source Handle ID:	0x25c
	Source Process ID:	0x2ad0

New Handle Information:
	Target Handle ID:	0x128c
	Target Process ID:	0x4","4690","0",,"0","12807","0","-9214364837600034816","124370","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Handle Manipulation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The handle to an object was closed.

Subject :
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Handle ID:		0x25c

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe","4658","0",,"0","12800","0","-9214364837600034816","124369","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An attempt was made to access an object.

Subject:
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		G:\task\xyz_norights.txt
	Handle ID:		0x25c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe

Access Request Information:
	Accesses:		DELETE
				
	Access Mask:		0x10000","4663","1",,"0","12800","0","-9214364837600034816","124368","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An attempt was made to access an object.

Subject:
	Security ID:		S-1-5-21-3497878331-16137086-3393786485-1001
	Account Name:		Dr. Chinmoy Karmakar
	Account Domain:		DESKTOP-8O0G16U
	Logon ID:		0x27488E2

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		G:\task\xyz_norights.txt
	Handle ID:		0x25c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x2ad0
	Process Name:		C:\Windows\System32\dllhost.exe

Access Request Information:
	Accesses:		ReadAttributes
				
	Access Mask:		0x80","4663","1",,"0","12800","0","-9214364837600034816","124367","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","9568","DESKTOP-8O0G16U",,"08/Aug/2019 23:45:50",,,"g:\temp\adminpassworddeletefiletxt.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File System","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
