#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Windows Filtering Platform has blocked a packet.

Application Information:
	Process ID:		0
	Application Name:	-

Network Information:
	Direction:		Outbound
	Source Address:		192.168.153.1
	Source Port:		137
	Destination Address:	192.168.153.255
	Destination Port:		137
	Protocol:		17

Filter Information:
	Filter Run-Time ID:	695263
	Layer Name:		Transport
	Layer Run-Time ID:	16","5152","0",,"0","12809","0","-9218868437227405312","912187","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","3968","DESKTOP-H1J37M8",,"10-06-2019 10:08:24",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Packet Drop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has blocked a packet.

Application Information:
	Process ID:		0
	Application Name:	-

Network Information:
	Direction:		Outbound
	Source Address:		192.168.153.1
	Source Port:		137
	Destination Address:	192.168.153.255
	Destination Port:		137
	Protocol:		17

Filter Information:
	Filter Run-Time ID:	695263
	Layer Name:		Transport
	Layer Run-Time ID:	16","5152","0",,"0","12809","0","-9218868437227405312","912186","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","3968","DESKTOP-H1J37M8",,"10-06-2019 10:08:24",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Packet Drop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has blocked a packet.

Application Information:
	Process ID:		0
	Application Name:	-

Network Information:
	Direction:		Outbound
	Source Address:		192.168.153.1
	Source Port:		137
	Destination Address:	192.168.153.255
	Destination Port:		137
	Protocol:		17

Filter Information:
	Filter Run-Time ID:	695263
	Layer Name:		Transport
	Layer Run-Time ID:	16","5152","0",,"0","12809","0","-9218868437227405312","912185","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","5824","DESKTOP-H1J37M8",,"10-06-2019 10:08:23",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Packet Drop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a connection.

Application Information:
	Process ID:		4
	Application Name:	System

Network Information:
	Direction:		Outbound
	Source Address:		192.168.153.1
	Source Port:		137
	Destination Address:	192.168.153.255
	Destination Port:		137
	Protocol:		17

Filter Information:
	Filter Run-Time ID:	695300
	Layer Name:		Connect
	Layer Run-Time ID:	48","5156","1",,"0","12810","0","-9214364837600034816","912184","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","5824","DESKTOP-H1J37M8",,"10-06-2019 10:08:23",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a connection.

Application Information:
	Process ID:		1328
	Application Name:	\device\harddiskvolume2\program files\bitdefender agent\productagentservice.exe

Network Information:
	Direction:		Inbound
	Source Address:		127.0.0.1
	Source Port:		50815
	Destination Address:	127.0.0.1
	Destination Port:		50814
	Protocol:		6

Filter Information:
	Filter Run-Time ID:	695237
	Layer Name:		Receive/Accept
	Layer Run-Time ID:	44","5156","1",,"0","12810","0","-9214364837600034816","912183","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","5824","DESKTOP-H1J37M8",,"10-06-2019 10:08:22",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a connection.

Application Information:
	Process ID:		1328
	Application Name:	\device\harddiskvolume2\program files\bitdefender agent\productagentservice.exe

Network Information:
	Direction:		Outbound
	Source Address:		127.0.0.1
	Source Port:		50815
	Destination Address:	127.0.0.1
	Destination Port:		50814
	Protocol:		6

Filter Information:
	Filter Run-Time ID:	695239
	Layer Name:		Connect
	Layer Run-Time ID:	48","5156","1",,"0","12810","0","-9214364837600034816","912182","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","5824","DESKTOP-H1J37M8",,"10-06-2019 10:08:22",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a connection.

Application Information:
	Process ID:		1328
	Application Name:	\device\harddiskvolume2\program files\bitdefender agent\productagentservice.exe

Network Information:
	Direction:		Inbound
	Source Address:		127.0.0.1
	Source Port:		50813
	Destination Address:	127.0.0.1
	Destination Port:		50812
	Protocol:		6

Filter Information:
	Filter Run-Time ID:	695237
	Layer Name:		Receive/Accept
	Layer Run-Time ID:	44","5156","1",,"0","12810","0","-9214364837600034816","912181","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","5824","DESKTOP-H1J37M8",,"10-06-2019 10:08:22",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a connection.

Application Information:
	Process ID:		1328
	Application Name:	\device\harddiskvolume2\program files\bitdefender agent\productagentservice.exe

Network Information:
	Direction:		Outbound
	Source Address:		127.0.0.1
	Source Port:		50813
	Destination Address:	127.0.0.1
	Destination Port:		50812
	Protocol:		6

Filter Information:
	Filter Run-Time ID:	695239
	Layer Name:		Connect
	Layer Run-Time ID:	48","5156","1",,"0","12810","0","-9214364837600034816","912180","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","5824","DESKTOP-H1J37M8",,"10-06-2019 10:08:22",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has blocked a packet.

Application Information:
	Process ID:		0
	Application Name:	-

Network Information:
	Direction:		Outbound
	Source Address:		192.168.153.1
	Source Port:		137
	Destination Address:	192.168.153.2
	Destination Port:		137
	Protocol:		17

Filter Information:
	Filter Run-Time ID:	695263
	Layer Name:		Transport
	Layer Run-Time ID:	16","5152","0",,"0","12809","0","-9218868437227405312","912179","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","5824","DESKTOP-H1J37M8",,"10-06-2019 10:08:21",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Packet Drop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has blocked a packet.

Application Information:
	Process ID:		0
	Application Name:	-

Network Information:
	Direction:		Outbound
	Source Address:		192.168.153.1
	Source Port:		137
	Destination Address:	192.168.153.2
	Destination Port:		137
	Protocol:		17

Filter Information:
	Filter Run-Time ID:	695263
	Layer Name:		Transport
	Layer Run-Time ID:	16","5152","0",,"0","12809","0","-9218868437227405312","912178","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","3968","DESKTOP-H1J37M8",,"10-06-2019 10:08:20",,,"d:\log_doc\sec_10-06.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Packet Drop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
